id;id_order;id_restaurant;id_customer;state;totalprice;date
1;48469;32217;74058;ONTHEWAY;150;2022-04-13T18:28:43
2;76865;66933;34818;DELIVERED;129;2022-04-13T23:43:51
3;57039;67263;6249;ONTHEWAY;45;2022-04-14T02:56:25
4;26312;92349;77186;WAITINGDELIVERERACCEPT;103;2022-04-14T05:32:36
5;39702;48734;77913;WAITINGDELIVERERACCEPT;193;2022-04-14T01:27:03
6;80077;29939;17935;DELIVERED;125;2022-04-14T07:32:47
7;67206;1403;87119;WAITINGDELIVERERACCEPT;121;2022-04-14T06:27:53
8;3682;37759;40818;PICKEDUP;181;2022-04-13T22:30:24
9;70320;61533;47723;PICKEDUP;164;2022-04-14T04:42:03
10;12661;41371;74641;WAITINGRESTAURANTCONFIRM;33;2022-04-14T05:31:46
