id;id_restaurant;name;address;telephone
1;19018;Avon;infrastructures primary Account;+33 373747
2;36185;d'Abbeville;Agent Unbranded;0393879649
3;15609;Frozen;c;+33 208408
4;8673;Re-contextualized Vision-oriented;Directeur b;0495177839
5;53690;transitional CSS;deposit deposit;+33 787822
6;55559;Aquitaine revolutionize de;Avon relationships compress;+33 462631
7;50178;Credit;connect;0688685242
8;41740;Euro;c RAM;0414169706
9;63869;Fish;bluetooth payment Profound;0555445680
10;21168;client-driven Danemark synergies;1080p Triple-buffered;+33 107443
